species,authors,dates,pages,dois,access dates,status,order,family,common_name
Loxigilla barbadensis,BirdLife International,2016,e.T22734682A95094761,10.2305/IUCN.UK.2016-3.RLTS.T22734682A95094761.en,7 February 2025,LC,Passeriformes,Thraupidae,Barbados Bullfinch
Loxigilla noctis,BirdLife International,2018,e.T22734677A132183438,10.2305/IUCN.UK.2018-2.RLTS.T22734677A132183438.en,7 February 2025,LC,Passeriformes,Thraupidae,Lesser Antillean Bullfinch
Loxioides bailleui,BirdLife International,2023,e.T22720742A222477278,10.2305/IUCN.UK.2023-1.RLTS.T22720742A222477278.en,7 February 2025,CR,Passeriformes,Fringillidae,Palila
Loxipasser anoxanthus,BirdLife International,2016,e.T22723622A94826195,10.2305/IUCN.UK.2016-3.RLTS.T22723622A94826195.en,7 February 2025,LC,Passeriformes,Thraupidae,Yellow-shouldered Grassquit
Loxops caeruleirostris,BirdLife International,2018,e.T22720832A130851810,10.2305/IUCN.UK.2018-2.RLTS.T22720832A130851810.en,7 February 2025,CR,Passeriformes,Fringillidae,Akekee
Loxops coccineus,BirdLife International,2023,e.T103823991A220920210,10.2305/IUCN.UK.2023-1.RLTS.T103823991A220920210.en,7 February 2025,EN,Passeriformes,Fringillidae,Hawaii Akepa
Loxops ochraceus,BirdLife International,2024,e.T103824084A250520617,10.2305/IUCN.UK.2024-2.RLTS.T103824084A250520617.en,7 February 2025,EX,Passeriformes,Fringillidae,Maui Akepa
Loxops wolstenholmei,BirdLife International,2024,e.T103824105A244247004,10.2305/IUCN.UK.2024-2.RLTS.T103824105A244247004.en,7 February 2025,EX,Passeriformes,Fringillidae,Oahu Akepa
Lullula arborea,BirdLife International,2024,e.T22717411A264552604,10.2305/IUCN.UK.2024-2.RLTS.T22717411A264552604.en,7 February 2025,LC,Passeriformes,Alaudidae,Woodlark
Lurocalis rufiventris,BirdLife International,2024,e.T22689698A264094087,10.2305/IUCN.UK.2024-2.RLTS.T22689698A264094087.en,7 February 2025,LC,Caprimulgiformes,Caprimulgidae,Rufous-bellied Nighthawk
Lurocalis semitorquatus,BirdLife International,2020,e.T22689695A163501030,10.2305/IUCN.UK.2020-3.RLTS.T22689695A163501030.en,7 February 2025,LC,Caprimulgiformes,Caprimulgidae,Short-tailed Nighthawk
Luscinia luscinia,BirdLife International,2016,e.T22709691A87882842,10.2305/IUCN.UK.2016-3.RLTS.T22709691A87882842.en,7 February 2025,LC,Passeriformes,Muscicapidae,Thrush Nightingale
Luscinia megarhynchos,BirdLife International,2024,e.T22709696A264563469,10.2305/IUCN.UK.2024-2.RLTS.T22709696A264563469.en,7 February 2025,LC,Passeriformes,Muscicapidae,Common Nightingale
Luscinia phaenicuroides,BirdLife International,2024,e.T22710108A263878240,10.2305/IUCN.UK.2024-2.RLTS.T22710108A263878240.en,7 February 2025,LC,Passeriformes,Muscicapidae,White-bellied Redstart
Luscinia svecica,BirdLife International,2019,e.T22709707A137567006,10.2305/IUCN.UK.2019-3.RLTS.T22709707A137567006.en,7 February 2025,LC,Passeriformes,Muscicapidae,Bluethroat
Lybius chaplini,BirdLife International,2016,e.T22681832A92922084,10.2305/IUCN.UK.2016-3.RLTS.T22681832A92922084.en,7 February 2025,VU,Piciformes,Lybiidae,Zambian Barbet
Lybius guifsobalito,BirdLife International,2024,e.T22681841A263603820,10.2305/IUCN.UK.2024-2.RLTS.T22681841A263603820.en,7 February 2025,LC,Piciformes,Lybiidae,Black-billed Barbet
Lybius leucocephalus,BirdLife International,2024,e.T22726068A263616428,10.2305/IUCN.UK.2024-2.RLTS.T22726068A263616428.en,7 February 2025,LC,Piciformes,Lybiidae,White-headed Barbet
Lybius leucogaster,BirdLife International,2017,e.T22726086A119152739,10.2305/IUCN.UK.2017-3.RLTS.T22726086A119152739.en,7 February 2025,EN,Piciformes,Lybiidae,White-bellied Barbet
Lybius rubrifacies,BirdLife International,2016,e.T22681837A92922394,10.2305/IUCN.UK.2016-3.RLTS.T22681837A92922394.en,7 February 2025,NT,Piciformes,Lybiidae,Red-faced Barbet
Lybius senex,BirdLife International,2024,e.T22726079A263616229,10.2305/IUCN.UK.2024-2.RLTS.T22726079A263616229.en,7 February 2025,LC,Piciformes,Lybiidae,Brown-and-white Barbet
Lybius torquatus,BirdLife International,2024,e.T22681845A263605138,10.2305/IUCN.UK.2024-2.RLTS.T22681845A263605138.en,7 February 2025,LC,Piciformes,Lybiidae,Black-collared Barbet
Lybius undatus,BirdLife International,2024,e.T22681812A263654322,10.2305/IUCN.UK.2024-2.RLTS.T22681812A263654322.en,7 February 2025,LC,Piciformes,Lybiidae,Banded Barbet
Lybius vieilloti,BirdLife International,2024,e.T22681816A263654737,10.2305/IUCN.UK.2024-2.RLTS.T22681816A263654737.en,7 February 2025,LC,Piciformes,Lybiidae,Vieillot's Barbet
Lycocorax obiensis,BirdLife International,2017,e.T103728215A112746692,10.2305/IUCN.UK.2017-1.RLTS.T103728215A112746692.en,7 February 2025,LC,Passeriformes,Paradisaeidae,Obi Paradise-crow
Lycocorax pyrrhopterus,BirdLife International,2024,e.T103728181A264380548,10.2305/IUCN.UK.2024-2.RLTS.T103728181A264380548.en,7 February 2025,LC,Passeriformes,Paradisaeidae,Halmahera Paradise-crow
Lymnocryptes minimus,BirdLife International,2016,e.T22693133A86640472,10.2305/IUCN.UK.2016-3.RLTS.T22693133A86640472.en,7 February 2025,LC,Charadriiformes,Scolopacidae,Jack Snipe
Lyncornis macrotis,BirdLife International,2020,e.T22689690A181755129,10.2305/IUCN.UK.2020-3.RLTS.T22689690A181755129.en,7 February 2025,LC,Caprimulgiformes,Caprimulgidae,Great Eared-nightjar
Lyncornis temminckii,BirdLife International,2024,e.T22689685A263694166,10.2305/IUCN.UK.2024-2.RLTS.T22689685A263694166.en,7 February 2025,LC,Caprimulgiformes,Caprimulgidae,Malay Eared-nightjar
Lyrurus mlokosiewiczi,BirdLife International,2023,e.T22679483A205025000,10.2305/IUCN.UK.2023-1.RLTS.T22679483A205025000.en,7 February 2025,NT,Galliformes,Phasianidae,Caucasian Grouse
Lyrurus tetrix,BirdLife International,2024,e.T22679480A264565319,10.2305/IUCN.UK.2024-2.RLTS.T22679480A264565319.en,7 February 2025,LC,Galliformes,Phasianidae,Black Grouse
Macgregoria pulchra,BirdLife International,2019,e.T22706104A156120711,10.2305/IUCN.UK.2019-3.RLTS.T22706104A156120711.en,7 February 2025,VU,Passeriformes,Meliphagidae,Macgregor's Honeyeater
Machaerirhynchus flaviventer,BirdLife International,2024,e.T22707419A264345359,10.2305/IUCN.UK.2024-2.RLTS.T22707419A264345359.en,7 February 2025,LC,Passeriformes,Machaerirhynchidae,Yellow-breasted Boatbill
Machaerirhynchus nigripectus,BirdLife International,2024,e.T22707422A264347086,10.2305/IUCN.UK.2024-2.RLTS.T22707422A264347086.en,7 February 2025,LC,Passeriformes,Machaerirhynchidae,Black-breasted Boatbill
Machaeropterus deliciosus,BirdLife International,2018,e.T22701122A130270942,10.2305/IUCN.UK.2018-2.RLTS.T22701122A130270942.en,7 February 2025,LC,Passeriformes,Pipridae,Club-winged Manakin
Machaeropterus eckelberryi,BirdLife International,2019,e.T155190014A155190888,10.2305/IUCN.UK.2019-3.RLTS.T155190014A155190888.en,7 February 2025,LC,Passeriformes,Pipridae,Painted Manakin
Machaeropterus pyrocephalus,BirdLife International,2018,e.T22701115A130270658,10.2305/IUCN.UK.2018-2.RLTS.T22701115A130270658.en,7 February 2025,LC,Passeriformes,Pipridae,Fiery-capped Manakin
Machaeropterus regulus,BirdLife International,2017,e.T103676093A112280770,10.2305/IUCN.UK.2017-1.RLTS.T103676093A112280770.en,7 February 2025,LC,Passeriformes,Pipridae,Kinglet Manakin
Machaeropterus striolatus,BirdLife International,2019,e.T103676114A155446152,10.2305/IUCN.UK.2019-3.RLTS.T103676114A155446152.en,7 February 2025,LC,Passeriformes,Pipridae,Striolated Manakin
Macheiramphus alcinus,BirdLife International,2016,e.T22695021A93485278,10.2305/IUCN.UK.2016-3.RLTS.T22695021A93485278.en,7 February 2025,LC,Accipitriformes,Accipitridae,Bat Hawk
Machetornis rixosa,BirdLife International,2021,e.T22700321A137976958,10.2305/IUCN.UK.2021-3.RLTS.T22700321A137976958.en,7 February 2025,LC,Passeriformes,Tyrannidae,Cattle Tyrant
Machlolophus holsti,BirdLife International,2023,e.T22711939A154683394,10.2305/IUCN.UK.2023-1.RLTS.T22711939A154683394.en,7 February 2025,LC,Passeriformes,Paridae,Yellow Tit
